longitude,latitude,fishing activity 2019_unreported_fishing,species richness 2019,stocks richness 2019,clusterid,risk
13.72,41.03,1129.6666666666665,462.0,58.0,0.0,Very High
17.22,41.03,431.83333333333246,507.0,60.0,0.0,Very High
17.72,41.03,208.08333333333337,328.0,53.0,2.0,High
18.22,41.03,12.166666666666677,243.0,48.0,2.0,High
18.72,41.03,128.16666666666669,324.0,53.0,2.0,High
19.22,41.03,82.66666666666669,438.0,62.0,1.0,Very High
28.22,41.03,57.16666666666664,65.0,10.0,5.0,Very Low
0.72,40.53,2207.9166666666692,466.0,51.0,0.0,Very High
1.22,40.53,1217.9166666666667,555.0,62.0,0.0,Very High
1.72,40.53,66.16666666666677,407.0,59.0,1.0,Very High
2.22,40.53,7.58333333333333,207.0,31.0,3.0,Moderate
2.72,40.53,0.166666666666667,129.0,15.0,5.0,Very Low
3.22,40.53,3.333333333333333,121.0,16.0,5.0,Very Low
3.72,40.53,0.8333333333333334,130.0,22.0,4.0,Moderate
4.22,40.53,0.0,133.0,24.0,4.0,Moderate
4.72,40.53,3.249999999999999,121.0,18.0,4.0,Moderate
5.22,40.53,0.0,112.0,16.0,5.0,Very Low
5.72,40.53,0.0,126.0,20.0,4.0,Moderate
6.22,40.53,0.0,128.0,19.0,4.0,Moderate
6.72,40.53,0.0,104.0,12.0,5.0,Very Low
7.22,40.53,6.5833333333333375,109.0,13.0,5.0,Very Low
7.72,40.53,272.91666666666674,317.0,45.0,2.0,High
8.22,40.53,358.08333333333263,561.0,62.0,0.0,Very High
10.22,40.53,61.00000000000002,371.0,56.0,1.0,Very High
10.72,40.53,0.0,190.0,31.0,3.0,Moderate
11.22,40.53,0.0,161.0,26.0,4.0,Moderate
11.72,40.53,0.0,132.0,18.0,4.0,Moderate
12.22,40.53,7.916666666666665,138.0,19.0,4.0,Moderate
12.72,40.53,133.58333333333334,261.0,38.0,3.0,Moderate
13.22,40.53,754.5833333333343,301.0,48.0,2.0,High
13.72,40.53,3443.916666666667,531.0,61.0,0.0,Very High
14.22,40.53,763.5833333333337,656.0,67.0,0.0,Very High
14.72,40.53,485.91666666666646,441.0,54.0,1.0,Very High
18.22,40.53,1469.6666666666629,468.0,58.0,0.0,Very High
18.72,40.53,201.91666666666683,296.0,50.0,2.0,High
19.22,40.53,85.16666666666661,543.0,62.0,0.0,Very High
22.72,40.53,4.833333333333331,0.0,0.0,6.0,Very Low
24.22,40.53,156.00000000000006,472.0,62.0,1.0,Very High
24.72,40.53,74.66666666666674,459.0,60.0,1.0,Very High
25.22,40.53,1011.5833333333346,425.0,59.0,1.0,Very High
25.72,40.53,3675.333333333329,354.0,51.0,2.0,High
26.22,40.53,184.75,282.0,41.0,2.0,High
26.72,40.53,0.0,0.0,0.0,6.0,Very Low
27.22,40.53,92.08333333333329,113.0,17.0,4.0,Moderate
27.72,40.53,142.0000000000001,144.0,23.0,4.0,Moderate
28.22,40.53,114.75000000000007,84.0,15.0,5.0,Very Low
28.72,40.53,884.5000000000003,91.0,13.0,5.0,Very Low
0.22,40.03,2225.416666666667,412.0,54.0,0.0,Very High
0.72,40.03,2974.1666666666706,394.0,57.0,0.0,Very High
1.22,40.03,378.0833333333328,491.0,61.0,0.0,Very High
1.72,40.03,161.91666666666674,233.0,37.0,3.0,Moderate
2.22,40.03,35.250000000000014,161.0,20.0,4.0,Moderate
2.72,40.03,3.666666666666671,224.0,37.0,3.0,Moderate
3.22,40.03,55.41666666666664,353.0,56.0,1.0,Very High
3.72,40.03,132.91666666666657,491.0,57.0,1.0,Very High
4.22,40.03,0.5000000000000006,420.0,54.0,1.0,Very High
4.72,40.03,0.0,147.0,18.0,4.0,Moderate
5.22,40.03,5.250000000000002,115.0,18.0,4.0,Moderate
5.72,40.03,2.333333333333333,86.0,12.0,5.0,Very Low
6.22,40.03,10.416666666666668,79.0,11.0,5.0,Very Low
6.72,40.03,0.75,88.0,13.0,5.0,Very Low
7.22,40.03,27.500000000000004,107.0,18.0,4.0,Moderate
7.72,40.03,272.5000000000002,321.0,50.0,2.0,High
8.22,40.03,151.41666666666657,571.0,62.0,0.0,Very High
9.72,40.03,421.2500000000005,524.0,58.0,0.0,Very High
10.22,40.03,45.416666666666664,328.0,51.0,2.0,High
10.72,40.03,0.0,155.0,25.0,4.0,Moderate
11.22,40.03,0.0,84.0,12.0,5.0,Very Low
11.72,40.03,0.0,142.0,22.0,4.0,Moderate
12.22,40.03,1.4166666666666665,96.0,12.0,5.0,Very Low
12.72,40.03,19.74999999999998,85.0,11.0,5.0,Very Low
13.22,40.03,21.16666666666668,132.0,16.0,4.0,Moderate
13.72,40.03,10.000000000000009,189.0,30.0,3.0,Moderate
14.22,40.03,92.58333333333326,296.0,48.0,2.0,High
14.72,40.03,1015.5000000000006,540.0,61.0,0.0,Very High
15.22,40.03,37.66666666666666,320.0,37.0,2.0,High
16.72,40.03,155.91666666666657,506.0,59.0,0.0,Very High
17.22,40.03,0.3333333333333336,461.0,54.0,1.0,Very High
17.72,40.03,16.666666666666682,453.0,52.0,1.0,Very High
18.72,40.03,423.8333333333333,322.0,52.0,2.0,High
19.22,40.03,34.75000000000003,406.0,57.0,1.0,Very High
19.72,40.03,14.749999999999984,375.0,44.0,2.0,High
22.72,40.03,4519.4999999999945,417.0,58.0,0.0,Very High
23.22,40.03,1419.2500000000002,434.0,59.0,0.0,Very High
23.72,40.03,635.4999999999995,489.0,62.0,0.0,Very High
24.22,40.03,77.66666666666667,526.0,58.0,0.0,Very High
24.72,40.03,28.416666666666664,380.0,56.0,1.0,Very High
25.22,40.03,122.58333333333339,524.0,58.0,0.0,Very High
25.72,40.03,606.1666666666663,506.0,60.0,0.0,Very High
26.22,40.03,330.8333333333332,326.0,45.0,2.0,High
-0.28,39.53,425.25,395.0,52.0,1.0,Very High
0.22,39.53,857.5833333333369,575.0,63.0,0.0,Very High
0.72,39.53,239.41666666666666,468.0,61.0,1.0,Very High
1.22,39.53,31.41666666666667,305.0,52.0,2.0,High
1.72,39.53,138.2500000000001,249.0,42.0,2.0,High
2.22,39.53,366.1666666666669,549.0,60.0,0.0,Very High
3.72,39.53,375.99999999999983,574.0,59.0,0.0,Very High
4.22,39.53,149.75,546.0,60.0,0.0,Very High
4.72,39.53,54.833333333333314,278.0,34.0,3.0,Moderate
5.22,39.53,0.0,106.0,17.0,5.0,Very Low
5.72,39.53,0.0,77.0,11.0,5.0,Very Low
6.22,39.53,0.0,69.0,7.0,5.0,Very Low
6.72,39.53,3.0000000000000018,80.0,10.0,5.0,Very Low
7.22,39.53,10.916666666666679,110.0,19.0,4.0,Moderate
7.72,39.53,79.33333333333339,256.0,38.0,3.0,Moderate
8.22,39.53,777.9166666666667,541.0,60.0,0.0,Very High
9.72,39.53,138.49999999999994,515.0,58.0,0.0,Very High
10.22,39.53,1.9166666666666672,201.0,30.0,3.0,Moderate
10.72,39.53,0.0,161.0,25.0,4.0,Moderate
11.22,39.53,3.0000000000000027,77.0,9.0,5.0,Very Low
11.72,39.53,2.4166666666666683,109.0,17.0,4.0,Moderate
12.22,39.53,1.333333333333335,63.0,2.0,6.0,Very Low
12.72,39.53,0.0,204.0,31.0,3.0,Moderate
13.22,39.53,15.750000000000027,79.0,8.0,5.0,Very Low
13.72,39.53,0.5000000000000006,87.0,11.0,5.0,Very Low
14.22,39.53,8.000000000000005,165.0,23.0,4.0,Moderate
14.72,39.53,83.25000000000001,208.0,33.0,3.0,Moderate
15.22,39.53,218.66666666666708,326.0,48.0,2.0,High
15.72,39.53,373.9166666666667,458.0,56.0,1.0,Very High
17.22,39.53,57.91666666666668,338.0,49.0,2.0,High
17.72,39.53,35.91666666666668,235.0,41.0,3.0,Moderate
18.22,39.53,228.3333333333332,420.0,54.0,1.0,Very High
18.72,39.53,398.2499999999994,314.0,53.0,2.0,High
19.22,39.53,24.333333333333332,277.0,48.0,2.0,High
19.72,39.53,367.9166666666671,482.0,56.0,1.0,Very High
23.22,39.53,452.083333333333,532.0,60.0,0.0,Very High
23.72,39.53,41.16666666666666,500.0,60.0,1.0,Very High
24.22,39.53,25.083333333333368,390.0,53.0,1.0,Very High
24.72,39.53,507.3333333333335,411.0,55.0,1.0,Very High
25.22,39.53,419.58333333333354,466.0,61.0,1.0,Very High
25.72,39.53,593.1666666666664,360.0,50.0,2.0,High
